"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2026-01-16T16:02:58Z"
"Version","20260116160258"
"OfferCode","comprehend"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","PlatoFeatureType","Region Code","serviceName"
"MKFA6BNYWQTEZKTM","JRTCKXETXF","MKFA6BNYWQTEZKTM.JRTCKXETXF.H7TEM37A35","OnDemand","$0.0000005 per Unit for ContainsPiiEntities:ContainsPiiEntities in Asia Pacific (Mumbai)","2025-04-01","50000000","100000000","Unit","0.0000005000","USD","API Calls","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-ContainsPiiEntities","Processes Contains PII in text requests","APS3-ContainsPiiEntities","ContainsPiiEntities","ContainsPiiEntities","ap-south-1","Amazon Comprehend"
"MKFA6BNYWQTEZKTM","JRTCKXETXF","MKFA6BNYWQTEZKTM.JRTCKXETXF.F83EQNDM5J","OnDemand","$0.0000001 per Unit for ContainsPiiEntities:ContainsPiiEntities in Asia Pacific (Mumbai)","2025-04-01","100000000","Inf","Unit","0.0000001000","USD","API Calls","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-ContainsPiiEntities","Processes Contains PII in text requests","APS3-ContainsPiiEntities","ContainsPiiEntities","ContainsPiiEntities","ap-south-1","Amazon Comprehend"
"MS6G4EPAYYKN29MZ","JRTCKXETXF","MS6G4EPAYYKN29MZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD8.33E-4 per seconds for DocClassifier-Time:DocClassifier in Asia Pacific (Mumbai)","2025-04-01","0","Inf","seconds","0.0008330000","USD","Custom Classification","comprehend","Asia Pacific (Mumbai)","AWS Region","comprehend - Custom Classification","Processes Custom Classification model training request","APS3-DocClassifier-Time","DocClassifier","DocClassifier-Time","ap-south-1","Amazon Comprehend"
"PK5SMQDUEQJJZPEP","JRTCKXETXF","PK5SMQDUEQJJZPEP.JRTCKXETXF.HWDSBTNJX9","OnDemand","USD1.0E-4 per Unit for DetectSentiment:DetectSentiment in Asia Pacific (Mumbai)","2025-04-01","0","10000000","Unit","0.0001000000","USD","Sentiment Analysis","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-SentimentAnalysis","Processes Sentiment Analysis text request","APS3-DetectSentiment","DetectSentiment","DetectSentiment","ap-south-1","Amazon Comprehend"
"PK5SMQDUEQJJZPEP","JRTCKXETXF","PK5SMQDUEQJJZPEP.JRTCKXETXF.UH4R86KK5B","OnDemand","USD5.0E-5 per Unit for DetectSentiment:DetectSentiment in Asia Pacific (Mumbai)","2025-04-01","10000000","50000000","Unit","0.0000500000","USD","Sentiment Analysis","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-SentimentAnalysis","Processes Sentiment Analysis text request","APS3-DetectSentiment","DetectSentiment","DetectSentiment","ap-south-1","Amazon Comprehend"
"PK5SMQDUEQJJZPEP","JRTCKXETXF","PK5SMQDUEQJJZPEP.JRTCKXETXF.ECJTRKSV3C","OnDemand","USD2.5E-5 per Unit for DetectSentiment:DetectSentiment in Asia Pacific (Mumbai)","2025-04-01","50000000","Inf","Unit","0.0000250000","USD","Sentiment Analysis","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-SentimentAnalysis","Processes Sentiment Analysis text request","APS3-DetectSentiment","DetectSentiment","DetectSentiment","ap-south-1","Amazon Comprehend"
"RCZGSBWYNGNF24YA","JRTCKXETXF","RCZGSBWYNGNF24YA.JRTCKXETXF.HWDSBTNJX9","OnDemand","USD1.0E-4 per Unit for DetectDominantLanguage:DetectDominantLanguage in Asia Pacific (Mumbai)","2025-04-01","0","10000000","Unit","0.0001000000","USD","Dominant Language Detection","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-LanguageDetection","Processes Language Detection text request","APS3-DetectDominantLanguage","DetectDominantLanguage","DetectDominantLanguage","ap-south-1","Amazon Comprehend"
"RCZGSBWYNGNF24YA","JRTCKXETXF","RCZGSBWYNGNF24YA.JRTCKXETXF.UH4R86KK5B","OnDemand","USD5.0E-5 per Unit for DetectDominantLanguage:DetectDominantLanguage in Asia Pacific (Mumbai)","2025-04-01","10000000","50000000","Unit","0.0000500000","USD","Dominant Language Detection","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-LanguageDetection","Processes Language Detection text request","APS3-DetectDominantLanguage","DetectDominantLanguage","DetectDominantLanguage","ap-south-1","Amazon Comprehend"
"RCZGSBWYNGNF24YA","JRTCKXETXF","RCZGSBWYNGNF24YA.JRTCKXETXF.ECJTRKSV3C","OnDemand","USD2.5E-5 per Unit for DetectDominantLanguage:DetectDominantLanguage in Asia Pacific (Mumbai)","2025-04-01","50000000","Inf","Unit","0.0000250000","USD","Dominant Language Detection","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-LanguageDetection","Processes Language Detection text request","APS3-DetectDominantLanguage","DetectDominantLanguage","DetectDominantLanguage","ap-south-1","Amazon Comprehend"
"SSWJ6WKR4B6S6QJF","JRTCKXETXF","SSWJ6WKR4B6S6QJF.JRTCKXETXF.HWDSBTNJX9","OnDemand","USD1.0E-4 per Unit for DetectEntities:DetectEntities in Asia Pacific (Mumbai)","2025-04-01","0","10000000","Unit","0.0001000000","USD","Entity Detection","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-EntityAnalysis","Processes Entity Analysis text request","APS3-DetectEntities","DetectEntities","DetectEntities","ap-south-1","Amazon Comprehend"
"SSWJ6WKR4B6S6QJF","JRTCKXETXF","SSWJ6WKR4B6S6QJF.JRTCKXETXF.UH4R86KK5B","OnDemand","USD5.0E-5 per Unit for DetectEntities:DetectEntities in Asia Pacific (Mumbai)","2025-04-01","10000000","50000000","Unit","0.0000500000","USD","Entity Detection","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-EntityAnalysis","Processes Entity Analysis text request","APS3-DetectEntities","DetectEntities","DetectEntities","ap-south-1","Amazon Comprehend"
"SSWJ6WKR4B6S6QJF","JRTCKXETXF","SSWJ6WKR4B6S6QJF.JRTCKXETXF.ECJTRKSV3C","OnDemand","USD2.5E-5 per Unit for DetectEntities:DetectEntities in Asia Pacific (Mumbai)","2025-04-01","50000000","Inf","Unit","0.0000250000","USD","Entity Detection","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-EntityAnalysis","Processes Entity Analysis text request","APS3-DetectEntities","DetectEntities","DetectEntities","ap-south-1","Amazon Comprehend"
"TXW8ZS7RWDMP846B","JRTCKXETXF","TXW8ZS7RWDMP846B.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD8.33E-4 per seconds for EntityRecognizer-Time:EntityRecognizer in Asia Pacific (Mumbai)","2025-04-01","0","Inf","seconds","0.0008330000","USD","Custom Entities","comprehend","Asia Pacific (Mumbai)","AWS Region","comprehend - Custom Entities","Processes Custom Entity model training request","APS3-EntityRecognizer-Time","EntityRecognizer","EntityRecognizer-Time","ap-south-1","Amazon Comprehend"
"YMVJ86YNFFTRA9XA","JRTCKXETXF","YMVJ86YNFFTRA9XA.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD1.0 per MB for DetectTopics-Fixed:DetectTopics in Asia Pacific (Mumbai)","2025-04-01","0","Inf","MB","1.0000000000","USD","Topic Modeling","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-DetectTopic-Fixed","Processes Topic Detection text request","APS3-DetectTopics-Fixed","DetectTopics","DetectTopics-Fixed","ap-south-1","Amazon Comprehend"
"ZKWYR2KP72HDRNMS","JRTCKXETXF","ZKWYR2KP72HDRNMS.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD1.0 per MB for DetectTopics-1MB:DetectTopics in Asia Pacific (Mumbai)","2025-04-01","0","Inf","MB","1.0000000000","USD","Topic Modeling","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-DetectTopic","Processes Topic Detection text request","APS3-DetectTopics-1MB","DetectTopics","DetectTopics-1MB","ap-south-1","Amazon Comprehend"
