FormatVersion,v1.0
Disclaimer,This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/
Publication Date,2026-04-22T19:42:03Z
Version,20260422194203
OfferCode,AmazonDatabaseSavingsPlans
SKU,RateCode,Unit,EffectiveDate,DiscountedRate,Currency,DiscountedSKU,DiscountedServiceCode,DiscountedUsageType,DiscountedOperation,PurchaseOption,LeaseContractLength,LeaseContractLengthUnit,ServiceCode,UsageType,Operation,Description,Instance Family,Location,Location Type,Granularity,Product Family,DiscountedRegionCode,DiscountedInstanceType
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.3VUS94HDAKJ8YFSC,Hrs,2026-04-20T21:53:43Z,8.448,USD,3VUS94HDAKJ8YFSC,AmazonRDS,APS5-InstanceUsage:db.r7i.16xl,CreateDBInstance:0021,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r7i.16xlarge
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.3WF9455FCCXEA2KR,Hrs,2026-04-20T21:53:43Z,36.8640000000,USD,3WF9455FCCXEA2KR,AmazonRDS,APS5-Multi-AZUsage:db.m8g.48xl,CreateDBInstance:0002,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M8G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.3WVDX9EEGPFYNR65,Hrs,2026-04-20T21:53:43Z,8.0008000000,USD,3WVDX9EEGPFYNR65,AmazonRDS,APS5-InstanceUsage:db.r7g.16xl,CreateDBInstance:0016,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,R7G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.3YKAWWC48KAHNNZ5,Hrs,2026-04-20T21:53:43Z,0.6480000000,USD,3YKAWWC48KAHNNZ5,AWSDatabaseMigrationSvc,APS5-InstanceUsg:dms.c7i.2xlarge,CreateDMSInstance,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.45BCCKJGWM5HZT74,Hrs,2026-04-20T21:53:43Z,1.7208,USD,45BCCKJGWM5HZT74,AmazonES,APS5-ESInstance:c8g.12xlarge,ESDomain,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,c8g.12xlarge.search
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.46PYU9Y5XX49XGMM,Hrs,2026-04-20T21:53:43Z,1.5360000000,USD,46PYU9Y5XX49XGMM,AmazonRDS,APS5-InstanceUsage:db.m8g.4xl,CreateDBInstance:0002,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M8G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.488J2MF6YFMES5Z7,Hrs,2026-04-20T21:53:43Z,0.7680000000,USD,488J2MF6YFMES5Z7,AmazonRDS,APS5-Multi-AZUsage:db.m8g.xl,CreateDBInstance:0018,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M8G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.4BP5RBG6CEQTNZX4,DCU-Hr,2026-04-20T21:53:43Z,0.0823242480,USD,4BP5RBG6CEQTNZX4,AWSDatabaseMigrationSvc,APS5-DMSServerlessRepCapacityUsg:1,CreateDMSInstance,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.4DSTU8Z2EUAYHSM2,Hrs,2026-04-20T21:53:43Z,36.8640000000,USD,4DSTU8Z2EUAYHSM2,AmazonRDS,APS5-Multi-AZUsage:db.m8g.48xl,CreateDBInstance:0014,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M8G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.4GR7DX47T4TQENU9,Hrs,2026-04-20T21:53:43Z,0.456,USD,4GR7DX47T4TQENU9,AmazonRDS,APS5-InstanceUsage:db.r7i.xl,CreateDBInstance:0019,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r7i.xlarge
